name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
georgia peach,vodka,1 1/2 oz,vodka,1/2 oz,peach schnapps,1 oz,grenadine,,,,,,,stir first three ingredients in collins glass. add ice and stir again. fill with lemonade.,collins glass,14 to 16 ounces
georgia mule,vodka,1 oz,"peach slice, skinned",1 1/2 oz,vodka,1/2 oz,fresh lemon juice,2 oz,peach bitters,,ginger beer,,peach slice,"muddle 1 peach slice in collins glass. add vodka, lemon juice, and bitters, then stir. fill with ice and ginger beer; stir again. garnish with peach slice.",collins glass,14 to 16 ounces
gentle ben,vodka,1 oz,vodka,1 oz,gin,1 oz,blanco tequila,,,,"orange wheel, maraschino cherry",,,shake first three ingredients with ice and pour into ice-filled collins glass. fill with orange juice and stir. garnish with orange and cherry.,collins glass,14 to 16 ounces
east india cocktail no. 1,brandy,1 1/2 oz,brandy,1/2 oz,jamaica rum,1/2 oz,triple sec,1/2 oz,pineapple juice,1 oz,angostura bitters,,"lemon twist, maraschino cherry",shake with ice and strain into chilled cocktail glass. add lemon twist and cherry.,cocktail glass,6 or more ounces
general harrison's eggnog,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,,red wine,,,,,,,shake with ice and strain into collins glass. fill glass with red wine and stir. sprinkle nutmeg on top.,collins glass,14 to 16 ounces
gables collins,vodka,1 1/2 oz,vodka,1 oz,creme de noyaux,1/2 oz,fresh lemon juice,1/2 oz,pineapple juice,,soda water,,"lemon wheel, pineapple chunk",shake first four ingredients with ice and strain into ice-filled collins glass. fill with soda water. garnish with lemon and pineapple.,collins glass,14 to 16 ounces
frozen brandy and rum,cocktail classics,1 1/2 oz,brandy,1 oz,light rum,1 oz,lemon juice,1 oz,egg yolk,1 oz,powdered sugar,,,combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. pour into old-fashioned glass.,old-fashioned glass,6 to 8 ounces
frozen apple,cocktail classics,1 1/2 oz,applejack,1 oz,lime juice,1 oz,sugar,1/2 oz,egg white,,,,,combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. pour into old-fashioned glass.,old-fashioned glass,6 to 8 ounces
frisky witch,vodka,1 oz,vodka,1 oz,sambuca,,black licorice stick,,,,,,,stir in old-fashioned glass. add ice and stir again. garnish with licorice.,old-fashioned glass,6 to 8 ounces
froth blower cocktail,cocktail classics,1 oz,egg white,2 oz,gin,1 oz,grenadine,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
french martini,vodka,1 1/2 oz,vodka,3/4 oz,black raspberry liqueur,3/4 oz,pineapple juice,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
flatiron martini,vodka,1 oz,splash triple sec,1 1/2 oz,orange-flavored vodka,1 1/2 oz,lillet blanc,,,,,,,swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. stir vodka and lillet with ice and strain into glass. garnish with orange.,cocktail glass,6 or more ounces
favourite cocktail,cocktail classics,3/4 oz,apricot-flavored brandy,3/4 oz,dry vermouth,3/4 oz,lemon juice,1/4 oz,gin,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
electric jam,vodka,1 1/4 oz,vodka,1/2 oz,blue curacao,1 oz,simple syrup,1 oz,fresh lemon juice,,lime soda,,,pour first four ingredients into ice-filled collins glass. fill with lemon-lime soda and stir.,collins glass,14 to 16 ounces
fairy belle cocktail,cocktail classics,1 oz,egg white,1 oz,grenadine,3/4 oz,apricot-flavored brandy,1 1/2 oz,gin,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
duke cocktail,cocktail classics,1/2 oz,triple sec,1 oz,orange juice,2 oz,lemon juice,1/2 oz,maraschino,1 oz,whole egg,,chilled champagne,"add first five ingredients, shake with ice. and strain into champagne flute. fill with chilled champagne and stir.",champagne flute,6 to 8 ounces
dreamy dorini smoking martini,vodka,2 oz,vodka,1/2 oz,"smoky scotch, such as laphroaig",4 oz,pastis,,,,,,,stir with ice and strain into a chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
dubonnet highball,cocktail classics,2 oz,dubonnet,,ginger ale,,carbonated water,,,,,,,"put dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. add a twist of lemon peel, if desired, and stir.",highball glass,7 to 10 ounces
dubonnet fizz,cocktail classics,1/2 oz,juice of orange,1/4 oz,juice of a lemon,1 oz,cherry-flavored brandy,2 oz,dubonnet,,,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
dubonnet cocktail,cocktail classics,1 1/2 oz,dubonnet,3/4 oz,gin,1 oz,orange bitters (if desired),,,,,,,stir with ice and strain into cocktail glass. add a twist of lemon peel.,cocktail glass,6 or more ounces
doctor cook,cocktail classics,3/4 oz,gin,1 oz,lemon juice,1 oz,maraschino,1 oz,egg white,,,,,shake with ice and strain into wine glass.,red-wine glass,12 to 24 ounces
desert sunrise,vodka,1 1/4 oz,vodka,1 1/2 oz,fresh orange juice,1 1/2 oz,pineapple juice,1 oz,grenadine,,,,,pour first three ingredients over crushed ice in collins glass. do not stir. top with grenadine.,collins glass,14 to 16 ounces
dillatini,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,,,,,,,,,a martini substituting a dilly bean in place of the olive. see martini on page 130.,cocktail glass,6 or more ounces
devil's cocktail,cocktail classics,1/2 oz,lemon juice,1 1/2 oz,port,1 1/2 oz,dry vermouth,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
derby fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1,whole egg,2 oz,scotch,1 oz,triple sec,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
cubeltini,vodka,3 oz,cucumber slices,5,fresh mint leaves,1 1/2 oz,simple syrup,2 oz,vodka,1 oz,fresh lime juice,,fresh mint sprig,"muddle the cucumber, mint leaves, and syrup. add vodka and lime juice. shake and strain into chilled cocktail glass. garnish with mint sprig.",cocktail glass,6 or more ounces
crocodile cooler,vodka,1 1/2 oz,citrus-flavored vodka,1 oz,melon liqueur,3/4 oz,triple sec,3/4 oz,simple syrup,1 oz,fresh lemon juice,,"lime soda, pineapple wedge, maraschino cherry or lime wheel","stir first five ingredients in hurricane glass. add ice, fill with lemonlime soda, and stir again. garnish with pineapple and cherry or lime wheel. serve with a straw.",hurricane glass,14 to 20 ounces
cosmopolitan,vodka,1 1/2 oz,vodka,1/2 oz,fresh lime juice,1/2 oz,triple sec,1/2 oz,cranberry juice,,lime wheel,,,shake well with ice and strain into chilled cocktail glass. garnish with lime.,cocktail glass,6 or more ounces
dream cocktail,brandy,1 1/2 oz,brandy,3/4 oz,triple sec,1 oz,anisette,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
jean lafitte cocktail,cocktail classics,1 oz,gin,1/2 oz,triple sec,1/2 oz,anis,1 oz,powdered sugar,1 oz,egg yolk,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
japanese fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 1/2 oz,blended whiskey,1 oz,port,1 oz,egg white,,,shake with ice and strain into highball glass over two cubes of ice. fill with carbonated water and stir. serve with slice of pineapple.,highball glass,7 to 10 ounces
citronella cooler,vodka,1 oz,citrus-flavored vodka,1 oz,fresh lime juice,2 oz,lemonade,1 oz,cranberry juice,,lime wedge,,,stir in collins glass. add ice and stir again. squeeze and add lime.,collins glass,14 to 16 ounces
north pole cocktail,cocktail classics,1 oz,egg white,1/2 oz,lemon juice,1/2 oz,maraschino,1 oz,gin,,,,,shake with ice and strain into cocktail glass. top with whipped cream.,cocktail glass,6 or more ounces
the cinquecento,vodka,1 1/2 oz,bison grass vodka (zubrowka),1/2 oz,benedictine,1/2 oz,campari,3/4 oz,fresh grapefruit juice,1 oz,angostura bitters,,grapefruit twist,shake with ice. strain through wire sieve into chilled cocktail glass. add grapefruit twist.,cocktail glass,6 or more ounces
new orleans gin fizz,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,juice of a lime,1 oz,powdered sugar,1 oz,egg white,2 oz,gin,1 oz,"light cream, 1/2 oz",shake with ice and strain into highball glass with two ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
napoleon,cocktail classics,2 oz,gin,1/2 oz,curacao,1/2 oz,dubonnet,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
zombie,rum - daiquiris,1 oz,gold rum,1 oz,151-proof rum,1 oz,light rum,1 oz,"each fresh lime juice, lemon juice, pineapple juie, and passion fruit syrup",2 oz,demerara syrup,1 oz,tiki (such as bittermen's 'elemakule) or angostura bitters (optional) garnish: fresh mint sprig,shake with ice and pour into chilled collins glass. garnish with mint.,collins glass,14 to 16 ounces
kiss the boys goodbye,cocktail classics,3/4 oz,sloe gin,3/4 oz,brandy,1/2 oz,egg white,1 oz,juice of a lemon,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
x.y.z. cocktail,rum - daiquiris,1 oz,light rum,1/2 oz,triple sec,1/2 oz,fresh lemon juice,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
k.g.b. cocktail,cocktail classics,1/2 oz,kummel,1 1/2 oz,gin,1/4 oz,apricot-flavored brandy,1/4 oz,lemon juice,,,,,shake with ice and strain into cocktail glass. add a twist of lemon peel.,cocktail glass,6 or more ounces
eye-opener,cocktail classics,1 oz,egg yolk,1/2 oz,powdered sugar,1 oz,anis,1 oz,triple sec,1 oz,white creme de cacao,2 oz,light rum,shake with ice and strain into sour glass.,sour glass,5 to 6 ounces
wiki waki woo,rum - daiquiris,1/2 oz,light rum,1/2 oz,151-proof rum,1/2 oz,"each vodka, tequila blanco, triple sec",1 oz,amaretto,1 oz,"each fresh orange juice, pineapple juice, cranberry juice",,"orange wheel, maraschino cherry","stir all ingredients with ice. pour, with ice, into hurricane or parfait glass. add orange and cherry.",hurricane glass,14 to 20 ounces
elk's own cocktail,cocktail classics,1 oz,egg white,1 1/2 oz,blended whiskey,3/4 oz,port,1/4 oz,juice of a lemon,1 oz,powdered sugar,,,shake with ice and strain into cocktail glass. add a strip of pineapple.,cocktail glass,6 or more ounces
eggnog supreme,cocktail classics,1 oz,medium eggs,1 oz,sugar,1 1/2 oz,whole milk,1 oz,"heavy cream, whipped",1 750-ml,cognac,,powdered nutmeg,"separate eggs; beat yolks in large serving bowl, adding sugar while beating. stir in milk and cream. slowly add cognac and refrigerate for 1 hour. before serving, whip egg whites stiff. mix into eggnog, dust with nutmeg.",punch cup,3 to 4 ounces
egg sour,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1/2 oz,juice of a lemon,2 oz,brandy,1/4 oz,triple sec,,,shake with ice and strain into old-fashioned glass.,old-fashioned glass,6 to 8 ounces
white lion cocktail,cocktail classics,1 1/2 oz,light rum,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,grenadine,2 oz,angostura bitters,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
white lily cocktail,rum - daiquiris,3/4 oz,light rum,3/4 oz,triple sec,3/4 oz,gin,1 oz,anisette,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
ice cream flip,rum - daiquiris,1 oz,whole egg,1 oz,maraschino,1 oz,triple sec,,,,,,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,sour glass,5 to 6 ounces
outrigger,cocktail classics,1 oz,peach-flavored brandy,1 oz,lime vodka,1 oz,pineapple juice,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6 to 8 ounces
opera cocktail,cocktail classics,1 oz,maraschino,1/2 oz,dubonnet,1 1/2 oz,gin,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
virginia dare,rum - daiquiris,2 oz,ripe pear,2 oz,dark rum,1/2 oz,benedictine,2 oz,angostura bitters,,,,,muddle 1 pear slice in mixing glass. add remaining ingredients. shake with ice and strain through a fine wire sieve into chilled cocktail glass. garnish with remaining pear slice.,cocktail glass,6 or more ounces
opening cocktail,cocktail classics,1/2 oz,grenadine,1/2 oz,sweet vermouth,1 1/2 oz,blended whiskey,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
queen bee,cocktail classics,1 1/2 oz,lime vodka,1 oz,coffee-flavored brandy,1/2 oz,cream sherry,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
van vleet,rum - daiquiris,3 oz,light rum,1 oz,maple syrup,1 oz,fresh lemon juice,,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
zaza cocktail,cocktail classics,1 1/2 oz,gin,3/4 oz,dubonnet,,,,,,,,,stir with ice and strain into cocktail glass. add a twist of orange peel.,cocktail glass,6 or more ounces
the vacation cocktail,rum - daiquiris,1 oz,peeled and chopped fresh ginger,3/4 oz,fresh lime juice,1/2 oz,"each simple syrup, light rum, dark rum",1 oz,mango juice,1/2 oz,"each cranberry juice, orange juice, spiced rum",,mango slice,"muddle ginger, lime juice, and syrup in mixing glass. add all but spiced rum. shake with ice. strain into chilled cocktail glass and float spiced rum on top. garnish with mango.",cocktail glass,6 or more ounces
dolores,brandy,1 oz,"brandy, preferably spanish",1 oz,cherry liqueur,1 oz,white or dark creme de cacao,1 oz,egg white,,freshly grated nutmeg,,,shake without ice. shake with ice and strain into a chilled champagne flute. top with nutmeg.,champagne flute,6 to 8 ounces
vesuvio,cocktail classics,1 oz,light rum,1/2 oz,juice of a lemon,1 oz,powdered sugar,1/2 oz,egg white,1/2 oz,sweet vermouth,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6 to 8 ounces
urban anxiety,rum,1 oz,cachaca,1 oz,sweet vermouth,3/4 oz,cynar,2 oz,angostura bitters,,"grapefruit twist, flamed",,,stir with ice and strain into chilled cocktail glass. flame grapefruit twist and add.,cocktail glass,6 or more ounces
virgin,cocktail classics,1 oz,gin,1/2 oz,white creme de menthe,1 oz,forbidden fruit,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
tropica cocktail,rum - daiquiris,2 oz,light rum,3 oz,pineapple juice,1 oz,fresh grapefruit juice,1 oz,grenadine,,pineapple wedge,,,mix ingredients in ice-filled collins glass. add pineapple wedge.,collins glass,14 to 16 ounces
vermouth cassis,cocktail classics,3/4 oz,creme de cassis,1 1/2 oz,dry vermouth,,,,,,,,,stir in highball glass with ice cubes and fill with carbonated water. stir again and serve.,highball glass,7 to 10 ounces
verboten,cocktail classics,1 1/2 oz,gin,1 oz,forbidden fruit,1 oz,orange juice,1 oz,lemon juice,,,,,shake with ice and strain into cocktail glass. add brandied cherry.,cocktail glass,6 or more ounces
velvet hammer no. 2,cocktail classics,1 1/2 oz,strega,1 oz,white creme de cacao,1 oz,light cream,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
velvet hammer no. 1,cocktail classics,1 1/2 oz,vodka,1 oz,creme de cacao,1 oz,light cream,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
ulanda cocktail,cocktail classics,1 1/2 oz,gin,3/4 oz,triple sec,1/4 oz,anis,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
torridora cocktail,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,coffee-flavored brandy,1 1/2 oz,half-and-half,1 oz,151-proof rum,,,,,shake first three ingredients with ice and strain into chilled cocktail glass. float 151-proof rum on top.,cocktail glass,6 or more ounces
boston sour,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,blended whiskey,1 oz,egg white,,,,,shake with cracked ice and strain into sour glass. add a slice of lemon and a cherry.,sour glass,5 to 6 ounces
three miller cocktail,rum - daiquiris,3 oz,fresh cherry tomatoes,2 oz,dark rum,1 oz,fresh lime juice,1 oz,simple syrup,1 oz,angostura bitters,,,muddle tomatoes in mixing glass. add remaining ingredients. shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
bird-of-paradise fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,egg white,1 oz,grenadine,2 oz,gin,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water.,highball glass,7 to 10 ounces
biffy cocktail,cocktail classics,1/2 oz,juice of a lemon,1 oz,swedish punch,1 1/2 oz,gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
between-the-sheets cocktail,cocktail classics,1/4 oz,juice of a lemon,1/2 oz,brandy,1/2 oz,triple sec,1/2 oz,light rum,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
third-rail cocktail,rum - daiquiris,3/4 oz,light rum,3/4 oz,apple brandy,3/4 oz,brandy,1/4 oz,anisette,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
bentley,cocktail classics,1 1/2 oz,apple brandy,1 oz,dubonnet,,,,,,,,,stir with cracked ice and strain into cocktail glass. add a twist of lemon peel.,cocktail glass,6 or more ounces
tahiti club,rum - daiquiris,2 oz,light rum,1/2 oz,fresh lemon juice,1/2 oz,fresh lime juice,1/2 oz,pineapple juice,1/4 oz,maraschino liqueur,,lemon wheel,shake with ice and strain into ice-filled old-fashioned glass. add lemon.,old-fashioned glass,6 to 8 ounces
barton special,cocktail classics,1/2 oz,applejack,1/4 oz,scotch,1/4 oz,gin,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6 to 8 ounces
barnaby's buffalo blizzard,cocktail classics,1 oz,white creme de cacao,3/4 oz,vodka,1 oz,galliano,,,1 oz,grenadine,,whipped cream and 3/4 oz,shake or blend. serve in a collins glass.,collins glass,14 to 16 ounces
susie taylor,rum - daiquiris,2 oz,light rum,1/2 oz,fresh lime juice,,ginger ale,,,,,,,pour rum and lime juice into ice-filled collins glass. fill with ginger ale and stir.,collins glass,14 to 16 ounces
baltimore bracer,cocktail classics,1 oz,anisette,1 oz,brandy,1 oz,egg white,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
bachelor's bait cocktail,cocktail classics,1 1/2 oz,gin,1 oz,egg white,1 oz,orange bitters,1/2 oz,grenadine,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
bushranger,cocktail classics,1 1/2 oz,light rum,1 oz,dubonnet,1 oz,bitters,,,,,,,stir with cracked ice and strain into cocktail glass.,cocktail glass,6 or more ounces
sunset at gowanus,rum - daiquiris,2 oz,dark rum,3/4 oz,fresh lime juice,1/2 oz,maple syrup,1/4 oz,brandy,1/4 oz,yellow chartreuse,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
bulldog highballl,cocktail classics,1/2 oz,juice of orange,2 oz,gin,,,,,,,,,pour into highball glass over ice cubes and fill with ginger ale. stir.,highball glass,7 to 10 ounces
bucks fizz (mimosa),cocktail classics,2 oz,orange juice,,chilled champagne,,,,,,,,,"pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with chilled champagne, and stir very gently.",collins glass,14 to 16 ounces
buckjones,cocktail classics,1 1/2 oz,light rum,1 oz,sweet sherry,1/2 oz,juice of a lime,,,,,,,pour ingredients into highball glass over ice cubes and stir. fill with ginger ale.,highball glass,7 to 10 ounces
stormy colada,rum - daiquiris,2 oz,dark rum,2 oz,pineapple juice,,ginger beer,,,,,,,add rum and pineapple juice to ice-filled highball glass. fill with ginger beer and stir. add skewered garnish.,highball glass,7 to 10 ounces
bronx silver cocktail,cocktail classics,1/2 oz,juice of orange,1 oz,egg white,1/2 oz,dry vermouth,1 oz,gin,,,,,shake with ice and strain into sour glass.,sour glass,5 to 6 ounces
bronx golden cocktail,cocktail classics,1 oz,gin,1/2 oz,sweet vermouth,1/2 oz,dry vermouth,1/4 oz,orange,,,,,same as bronx cocktail with the addition of one egg yolk. use sour glass.,sour glass,5 to 6 ounces
stone wall,rum - daiquiris,,thin peeled fresh ginger,3/4 oz,demerara syrup,1 1/2 oz,fresh apple cider,1 1/2 oz,light rum,,jamaican ginger beer,,"green apple slice, lime wedge",muddle ginger and syrup in mixing glass. add cider and rum and shake with ice. strain into ice-filled old-fashioned glass and fill with ginger beer. add apple and lime.,old-fashioned glass,6 to 8 ounces
depth bomb,brandy,1 oz,apple brandy,1 oz,brandy,1 oz,fresh lemon juice,1 oz,grenadine,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
stone cocktail,rum - daiquiris,1 oz,dry sherry,1/2 oz,light rum,1/2 oz,sweet vermouth,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
almeria,cocktail classics,1 1/2 oz,17-year-old j. wray and nephew ltd. rum,1 oz,coffee-flavored liqueur,1 oz,egg white,,,,,,,shake all ingredients with cracked ice and strain into cocktail glass.,cocktail glass,6 or more ounces
aunt jemima,cocktail classics,1/2 oz,brandy,1/2 oz,white creme de cacao,1/2 oz,benedictine,,,,,,,"pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",pousse-cafe_ glass,1 _  ounces
spanish town cocktail,rum - daiquiris,2 oz,light rum,1/2 oz,triple sec,,,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
apricot lady,cocktail classics,1 1/4 oz,light rum,1 oz,apricot-flavored brandy,1/4 oz,triple sec,1 oz,lime juice,1 oz,egg white,,,shake all ingredients with ice and strain into old-fashioned glass over ice cubes. add an orange slice.,old-fashioned glass,6 to 8 ounces
apricot anise collins,cocktail classics,1 1/2 oz,gin,1/2 oz,apricot-flavored brandy,1 1/2 oz,anisette,1 oz,lemon juice,,,,,shake with ice and strain into collins glass over ice. fill with carbonated water and stir lightly. garnish with a slice of lemon.,collins glass,14 to 16 ounces
apple rum rickey,cocktail classics,3/4 oz,applejack,3/4 oz,light rum,1/4 oz,lime,,,,,,,pour applejack and rum into highball glass over ice cubes. fill with carbonated water. squeeze lime and drop into glass. stir.,highball glass,7 to 10 ounces
sloppy joe's cocktail no. 1,rum - daiquiris,3/4 oz,light rum,3/4 oz,dry vermouth,1/2 oz,triple sec,1 oz,fresh lime juice,1/2 oz,grenadine,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
applejack punch,cocktail classics,1 3/4 oz,applejack,4 oz,grenadine,16 oz,orange juice,,,,,1 oz,whole egg,combine first three ingredients in punch bowl with large block of ice. add ginger ale and slices of apple.,punch cup,3 to 4 ounces
brandy flip,cocktail classics,1,whole egg,1 oz,powdered sugar,1 1/2 oz,brandy,2 oz,light cream (if desired),,,,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,sour glass,5 to 6 ounces
sir walter cocktail,rum - daiquiris,3/4 oz,light rum,3/4 oz,brandy,1 oz,grenadine,1 oz,triple sec,1 oz,fresh lemon juice,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
saxon cocktail,rum - daiquiris,1 3/4 oz,light rum,1/2 oz,fresh lime juice,1/2 oz,grenadine,,,,,,,shake with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
boston bullet,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,,,,,,,,,a martini substituting an olive stuffed with an almond for the regular olive. see martini on page 130.,cocktail glass,6 or more ounces
sargasso,rum - daiquiris,2 oz,aged rhum agricole,3/4 oz,dry sherry,1/2 oz,aperol,2 oz,angostura bitters,,orange twist,,,stir with ice and strain into chilled cocktail glass. garnish with orange twist.,cocktail glass,6 or more ounces
santiago cocktail,rum - daiquiris,1 1/2 oz,light rum,1 oz,fresh lime juice,1/2 oz,simple syrup,1/2 oz,grenadine,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
black velvet,cocktail classics,5 oz,chilled stout,5 oz,chilled champagne,,,,,,,,,"pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix.",champagne flute,6 to 8 ounces
saint lucy bracer,rum - daiquiris,2 oz,dark rum,1/2 oz,butterscotch schnapps,1/2 oz,sweet vermouth,2 oz,angostura bitters,,"edible flower, such as nasturtium",,,stir with ice and strain into chilled cocktail glass. garnish with flower.,cocktail glass,6 or more ounces
applecar,cocktail classics,1 oz,applejack,1 oz,triple sec,1 oz,lemon juice,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
apple blow fizz,cocktail classics,1 oz,egg white,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,apple brandy,,,,,shake with ice and strain into highball glass with two ice cubes. fill with carbonated water.,highball glass,7 to 10 ounces
antoine special,cocktail classics,1 1/2 oz,dubonnet,1 1/2 oz,dry vermouth,,,,,,,,,float vermouth on top of chilled dubonnet in a wine glass.,red-wine glass,12 to 24 ounces
ante,cocktail classics,1 oz,apple brandy,1/2 oz,triple sec,1 oz,dubonnet,,,,,,,stir well with cracked ice and strain into cocktail glass.,cocktail glass,6 or more ounces
s & v,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,creole shrubb (rum-based orange liqueur),1/2 oz,ruby port,1/2 oz,fresh lime juice,,lime wheel,,,shake with ice and strain into chilled cocktail glass. garnish with lime.,cocktail glass,6 or more ounces
rum toddy (cold),rum - daiquiris,2 oz,light or dark rum,1/2 oz,water,1 oz,simple syrup,,,,,1/2 oz,brandy,"stir rum, water, and syrup in old-fashioned glass. add large cube of ice. add lemon twist.",old-fashioned glass,6 to 8 ounces
deauville cocktail,brandy,1/2 oz,brandy,1/2 oz,apple brandy,1/2 oz,triple sec,1/2 oz,fresh lemon juice,,,1 oz,dry vermouth,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
allies cocktail,cocktail classics,1 oz,dry vermouth,1 oz,gin,1/2 oz,kummel,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
rum swizzle,rum - daiquiris,2 oz,light or dark rum,1 oz,fresh lime juice,1/2 oz,simple syrup,2 oz,angostura bitters,,soda water,,,"combine first four ingredients in ice-filled collins glass. with bar spoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. top with soda water. serve with a swizzle stick.",collins glass,14 to 16 ounces
a. j.,cocktail classics,1 1/2 oz,applejack,1 oz,grapefruit juice,,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
after supper cocktail,cocktail classics,1 oz,apricot-flavored brandy,1 oz,triple sec,1/2 oz,lemon juice,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
rum sour,rum - daiquiris,2 oz,light rum,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,,,,,,,shake with ice and strain into chilled sour glass. garnish with lemon and cherry.,cordial or pony glass,2 to 3 ounces
acapulco,cocktail classics,1 1/2 oz,light rum,1 oz,lime juice,1 1/2 oz,triple sec,1 oz,sugar,1,egg white,,,combine and shake all ingredients with ice and strain into old-fashioned glass over ice cubes. add a sprig of mint.,old-fashioned glass,6 to 8 ounces
absinthe drip cocktail,cocktail classics,1 1/2 oz,anis,1 oz,sugar,,,,,,,,,"pour anis into special drip glass or old-fashioned cocktail glass. place sugar cube over hole of drip spoon (or in silver tea strainer). pack spoon or strainer with cracked ice, pour cold water to fill. when water has dripped through, drink is ready.",old-fashioned glass,6 to 8 ounces
ambrosia,cocktail classics,1 oz,applejack,1 oz,brandy,1 oz,triple sec,,,,chilled champagne,,,shake all ingredients except champagne. pour contents into highball glass with cubed ice. fill with chilled champagne.,highball glass,7 to 10 ounces
