name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
dixie julep,cocktail classics,1 oz,powdered sugar,2 1/2 oz,bourbon,,,,,,,,,put sugar and bourbon into collins glass. fill with crushed ice and stir gently until glass is frosted. decorate with sprigs of mint. serve with straws.,collins glass,14 to 16 ounces
victory collins,vodka,1 1/2 oz,vodka,2 oz,unsweetened grape juice,1 oz,fresh lemon juice,1/2 oz,simple syrup,,,,,shake with ice and strain into ice-filled collins glass. garnish with orange.,collins glass,14 to 16 ounces
buddy's favorite,cocktail classics,1 1/2 oz,bourbon,6 oz,cold water,,,,,,,,,pour ingredients into highball glass. stir and serve without ice.,highball glass,7 to 10 ounces
bourbon on the rocks,cocktail classics,2 oz,bourbon,,,,,,,,,,,pour bourbon into old-fashioned glass half-filled with ice.,old-fashioned glass,6 to 8 ounces
bourbon cobbler,cocktail classics,2 1/2 oz,bourbon,1 oz,lemon juice,2 oz,grapefruit juice,1 1/2 oz,almond extract,,,,,"combine all ingredients in mixing glass, pour over ice into old-fashioned glass. decorate with peach slice.",old-fashioned glass,6 to 8 ounces
bourbon and water,cocktail classics,2 oz,bourbon,4 oz,water,,,,,,,,,"pour bourbon and water into old-fashioned glass. add ice and a twist of lemon peel, if desired, and stir.",old-fashioned glass,6 to 8 ounces
greenpoint,whiskies,2 oz,straight rye whiskey,1/2 oz,yellow chartreuse,1/2 oz,sweet vermouth,1 oz,angostura bitters,1 oz,orange bitters,,lemon twist,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
yellowjacket,non-alcoholic drinks,2 oz,pineapple juice,2 oz,orange juice,1/2 oz,lemon juice,,,,,,,shake with old-fashioned glass filled with ice cubes. garnish with a lemon slice.,old-fashioned glass,6 to 8 ounces
velvet peach hammer,vodka,1 3/4 oz,vodka,3/4 oz,peach schnapps,1/4 oz,simple syrup,1/2 oz,fresh lemon juice,,,,,pour vodka and schnapps into ice-filled old-fashioned glass. stir and top with syrup and lemon juice. garnish with peach.,old-fashioned glass,6 to 8 ounces
grandfather,whiskies,1 oz,bourbon whiskey,1 oz,applejack,1 oz,sweet vermouth,1 oz,angostura bitters,1 oz,peychaud's bitters,,maraschino cherry,stir with ice and strain into chilled cocktail glass. garnish with cherry.,cocktail glass,6 or more ounces
goldrush,whiskies,2 oz,bourbon whiskey,3/4 oz,fresh lemon juice,1 oz,honey syrup,,,,,,,shake and strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
sake martini,cocktail classics,1 oz,sake,3 oz,mr. boston gin,,,,,,,,,"stir with ice, strain into 3-or 4-oz. cocktail glass and serve with an olive.",cocktail glass,6 or more ounces
godfather,whiskies,1 1/2 oz,blended scotch whiskey,3/4 oz,amaretto,,,,,,,,,pour into ice-filled old-fashioned glass and stir.,old-fashioned glass,6 to 8 ounces
jack-in-the-box,brandy,1 oz,applejack,1 oz,pineapple juice,1 oz,angostura bitters,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
saronno,cocktail classics,1 oz,amaretto di saronno,1 oz,mr. boston five star brandy,1 oz,light cream,,,,,,,shake well with cracked ice. strain and serve in cocktail glass.,cocktail glass,6 or more ounces
saronno colada (nutty colada),cocktail classics,3 oz,amaretto di saronno,3 oz,coconut milk,3 oz,crushed pineapple,,,,,,,put in an electric blender with 2 cups of crushed ice and blend at high speed for a short time. pour into a collins glass and serve with a straw.,collins glass,14 to 16 ounces
saronno mist,cocktail classics,1 1/2 oz,amaretto di saronno,,,,,,,,,,,"serve in an old-fashioned glass over crushed ice with a twist of lemon or a wedge of lime, if desired.",old-fashioned glass,6 to 8 ounces
saronno rose,cocktail classics,1 1/2 oz,amaretto di saronno,1/2 oz,roses lime juice,1 oz,club soda,,,,,,,pour amaretto di saronno and lime juice over ice in a collins glass and fill with club soda.,collins glass,14 to 16 ounces
gilchrist,whiskies,1 1/2 oz,blended scotch whiskey,3/4 oz,pear brandy,3/4 oz,grapefruit juice,1/2 oz,amaro,2 oz,grapefruit bitters,,lemon twist,shake with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
frisco sour,whiskies,2 oz,bourbon or rye whiskey,3/4 oz,fresh lemon juice,1/2 oz,fresh lime juice,1/2 oz,benedictine,1 oz,lemon and lime wheels,,,shake with ice and strain into chilled sour glass. garnish with lemon and lime.,cordial or pony glass,2 to 3 ounces
fratelli cocktail,whiskies,2 oz,straight rye whiskey,1/2 oz,sweet vermouth,1/2 oz,yellow chartreuse,1/4 oz,fernet-branca,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
francis the mule,whiskies,2 oz,bourbon whiskey,1/2 oz,coffee liqueur,1/2 oz,fresh lemon juice,1/4 oz,orgeat or almond syrup,2 oz,orange bitters,,lemon twist,shake with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
